text,label tay,label chatgpt,label,keyword của mình,keyword của chatgpt,Reason của mình,Reason của chatgpt,từ viết tắt
"Em chào mọi người ạ, em có quen 1 anh hơn mình 5 tuổi và quen biết khá lâu rồi khoảng 4 năm ạ.Vì 1 số lí do ở xa và hồi mới quen em còn là học sinh nên anh ý chỉ nói chuyện tâm sự với em như 1 người anh ạ. Sau đấy 1 khoảng thời gian (6-7 tháng) anh ấy cắt đứt liên lạc với mình và chúng mình không nói chuyện nữa và anh ấy cũng có ny trong khoảng thời gian sau đấy luôn và yêu nhau cho đến bây giờ và mới chia tay đc 1 tuần ạ. Sau khi chia tay xong anh ấy quay lại nhắn tin cho mình và bảo mình rằng có tình cảm với mình và sẽ đợi mình và bảo rằng muốn bù đắp cho mình thời gian mà anh bỏ lỡ.Nhưng mình thấy khó xử lắm mn ạ vì khi nhắn với anh anh rất hay đề cập đến vấn đề cưới xin và qhtd mặc dù anh bảo anh sẽ đợi mình và chờ mình quyết định mặc dù mình còn chưa đồng ý xác định mối quan hệ với anh mà anh đã đề cập đến các vấn đề sau đấy ạ….mn có thể cho mình lời khuyên không ạ mình vừa cảm thấy khó xử vừa cảm thấy sợ hãi khi đối mặt với anh ạ…..",0,0,0,,,,,"ny, đc, mn"
Mọi người ơi ny cũ mình còn thiếu nợ mình 1 số tiền thì mình có nên đòi k… tụi mình chia tay cũng lâu r mà h đòi thì ngại quá tại mình là nữ 😭😭😭 sắp qua năm mới r mình k muốn dính dáng gì tới họ nữa hết. 😞,0,0,0,,,,,
"Xin chào mng.
Mình là nữ, hiện đã gần 21 tuổi nhưng chưa có mối tình nào, không phải không có người thích, mà mình luôn suy nghĩ kĩ trước khi tiến tới và không có ai ở lại qua thời gian mình đặt ra để đi xa hơn.
Gần đây, có bạn nam kia cùng lớp với mình. Mình và bạn nch số lần chưa đếm hết 1 bàn tay nữa. Nhờ chuyến đi chơi xa với lớp, thông qua nhóm bạn chung, 2 đứa mình cũng nch tương tác bthg. Nhưng ngày cuối bạn chủ động nhắn tin, lúc đầu cả 2 nch cũng bthg. Rồi bạn lại đột ngột ngỏ lời với mình qua tin nhắn, tất nhiên là mình không tin nghĩ là giỡn nên ko từ chối cũng ko đồng ý. Lúc đó bạn nói xuống xe sẽ nói với mình lần nữa. Ừm, mình nói là cứ từ từ tìm hiểu, không thể nào vội quen được.
Mình với bạn đi chơi riêng cũng được 3 lần. Cảm giác của mình khi đi với bạn, bạn ko giống vs những gì mình nghĩ và như lúc tụi mình đi chơi nch vs nhau.
Bạn ga lăng thật, còn nấu đồ ăn cho mình, mua đồ ăn và nhiều thứ...
Nhưng mình lại bị ngột quá. Bạn chia sẻ rất nhiều thứ cuộc sống của bạn. Mà cũng không cần biết mình có biết ng đó là ai không, hết cô A, chú B, bạn B cấp 3, bạn C cấp 1,2....rồi gia đình bạn. Và dù mới đi chơi lần đầu, bạn cũng kể luôn về nyc vì sao chia tay rồi nhiều thứ lắm.
Bạn kể cũng ko có để ý là mình có thoải mái khi nghe ko, trong lúc bạn kể mình chỉ cười và ko nói chen vào đc gì hết. 
Qua day 2, mọi thứ lại rất vui và bthg. Nếu nói trừ việc bạn chia sẻ quá nhiều thứ thì sự quan tâm của bạn dành cho mình rất lớn và tốt.
Cũng khiến mình gạt đi cái ngột của day1.
Nhưng rồi tới day3 mình thật sự suy nghĩ lại có nên tiếp tục tìm hiểu ko và nói với bạn ntn.
Day3 vẫn là những câu chuyện của bạn, có câu chuyện cũ của day1 và thêm nhiều thứ nữa. Mình ko load được hết những tên người và mqh trong câu chuyện của bạn. Bạn cứ kể mình cứ nghe, nhiều lúc ngột quá cứ lơ ngơ. Bạn cũng nói là bên mình bạn thoải mái chia sẻ, vì mình biết đó giờ ai đến với mình cũng vì tính chia sẻ và quan tâm ngkhac của mình. 
Bạn có nói là muốn mình chia sẻ, mình có nói mình ko dễ nch hay chủ động kể, trừ khi ngkhac hỏi tới mình mới trl. Bạn cũng nói vậy giờ kể cho bạn nghe đi, mình có nói v giờ hỏi về gì để mình kể. Ừm, mình có kể mình rất hay im lặng, và biến mất. Bạn nói vậy thường mình sẽ im lặng và biến mất trong bao lâu, mình bảo đến khi nào người kia chủ động tìm đến và hỏi lí do im ko thì thôi. Bạn hỏi nếu nhắn tin mình có trl ko, mình nói nhắn tin thì vẫn trl nhưng chỉ có bên ngoài ms biết là đang như thế nào thôi. Và bạn trl ừm vậy được rồi, chỉ cần mình trl vs biết mình ở nhà là ổn. Mình hơi bị hững vì bạn cũng ko đặt câu hỏi là sẽ tìm lý do mình im lặng hay gì đó.
Cả việc mình cố tình nói là nếu bạn sợ ngày hôm đó mình từ chối, vậy sao ko nghĩ vì sao hôm đó mình đã đồng ý tìm hiểu. Bạn chỉ cười rồi nói bạn ko suy nghĩ đc tới đó, chỉ nghĩ đc nếu mình từ chối bạn sẽ buồn thôi. 
Lúc mình vs bạn ra một quán ngồi, bạn vẫn chia sẻ câu chuyện của bạn, mình ngồi nghe gần 3h. Trong lúc đó, bạn kể một hồi thấy mình đơ quá có hỏi mình có hiểu hết hong, mình nói vẫn load đc. Xong rồi bạn bảo bạn kể cho mình nghe hết rồi, bạn cũng muốn nghe mình chia sẻ vì bạn thấy bữa h toàn bạn chia sẻ thôi mình ko nói gì. Nhưng thật ra mình có nói,nhưng đc 1,2 câu bạn lại kể chuyện của bạn.
Mình cũng có chia sẻ về nhà mình, mình cảm thấy ko đc quan tâm. Do từ lúc đi hc mình luôn tự đi hc dù về trễ 8h,9h tối còn em mình luôn đc đưa đi đón về. Và bạn trả lời là tại vì ba mẹ tin tưởng mình, muốn cho mình tự lập còn em mình con trai sợ nó hư. Rồi bạn kể chuyện của bạn, trong sự chưng hững của mình.
Bạn cứ kể mình cứ ngồi đó. Bạn kể xong quay lại hỏi mình nãy mình kể tới đâu r, kể tiếp đi. Mình nói là chỉ có vậy thôi á, gia đình lớn thì ko có gì chỉ có gd nhỏ rắc rối. Ba mình với mình ko có thuận, ko nch đc và nch vs nhau số lần chỉ đến trên lòng bàn tay, ba cũng chưa từng gọi đth lên hỏi thăm mình ( do mình hc và ở ktx).
Bạn cũng nói do ba muốn mình tự lập thôi. Xong bạn nói ba bạn cũng vậy, nhưng khác là ba hay gọi lên rồi hỏi bạn, rồi về nhà bạn dạ thưa vs ba, rồi ngày bạn đi ba khóc và đc mẹ kể lại thấy vui lắm.
Mình cứ bị chưng hững. Ko biết thiệt là nãy h bạn có muốn nghe mình chia sẻ ko. Ngày hôm đó mình suy nghĩ rất nhiều thứ, dù bạn quan tâm đến mình bằng cách mua đồ ăn, lm những hành động ga lăng nhưng việc ngồi lắng nghe mình bạn ko làm đc thì phải. Bạn cứ luôn miệng kể về bạn vui buồn, mệt ra sao còn mình cứ ngồi thẫn thờ ra đó, cười và vài lúc nói đc một, hai tiếng.
Mình đã nói cho bạn 3,4 tháng tìm hiểu đc thì tiến tới ko thì thôi. Nhưng giờ mình muốn rõ ràng và nói vs bạn vấn đề lắng nghe và chia sẻ này. Mà ko biết phải nói thế nào làm sao cả. Vì bạn là ng nghĩ rất nhiều và có đôi phần tiêu cực. 
Mình phải ngỏ lời như thế nào cho hợp lý nhỉ! Bạn tốt nhưng mình cũng cần ng lắng nghe chứ ko chỉ mãi nch của họ mà ko quan tâm cảm xúc của mình.",0,1,0,,"suy nghĩ,  lo lắng",,Bạn bè,"nch, bthg, day 2, day 1, day3, ntn, load, mqh, ngkhac, trl, v, ms, 3h, 8h 9h, đth, ng, nch, ko"
"Các cậu đã baoh nuôi 1 con vật , nhìn thấy quá trình lớn lên và gắn bó với các cậu suốt mấy năm ch ? 
Tớ gặp và nhận nuôi em khi em còn rất bé , tớ cũng k biết do xui hay s nma những con vật tớ nuôi đều mất tích hoặc radi rất đột ngột .Sau bao lần khóc lên khóc xuống vì buồn nma tớ vẫn muốn nhận nuôi thêm 1 em nữa  
Hôm 22 vừa qua tớ có cbi cho cuộc thi chứng chỉ của tớ , trc hôm đó tớ và em vẫn lên phòng ngủ chung, hôm đó tớ thấy em quấn chủ lạ thường nhưng k lấy làm lạ 
Sau hôm 22 thì tớ bị ốm và sốt rất cao nên phải nằm ở nhà .Đến đầu tuần này tớ đi học lại , em nhà tớ hay được thả để chạy loanh quanh khu xóm ,đến bữa là em sẽ về ,nhưng hôm đó tớ đợi mãi mà k thấy , chiều về mà đĩa ăn em vẫn còn 
Ẻm từng đi hơn 6 ngày nhưng tớ có linh cảm rằng ẻm chỉ đi 1 thgian và em sẽ về và đúng là nvay .Nhưng lần này là khác , sau 1 hôm đầu tiên tớ đã có cảm giác k lành , tớ đi khắp xóm và gọi em nhưng k tìm dc 
Mất thêm 1 vật nuôi khiến tớ buồn và khóc rất nhiều , em là bác sĩ tâm lý của tớ và là thành viên trong gia đình , tớ nghĩ sẽ k nhận nuôi thêm bất cứ con vật nào nữa vì tớ sợ sẽ mất các em thêm nữa…",0,0,0,,,,,"baoh, ch, s, nma, radi, cbi, k, nvay, "
"Mọi người cho e xin lời khuyên với ạ. Mong ad duyệt ạ.
Chuyện là e năm nay 17t và có quen 1 bạn nam, tụi e đi thỉnh thoảng cũng hay khoác tay giỡn giỡn xong lại buông chứ k có khoác hết 1 con đường ạ. Dì e là giáo viên trong trường, thấy e khoác tay bạn ấy như v và có nhắc nhở e là nơi công cộng k đc như v. Cho e hỏi là việc này e làm có bị quá hay lố ko ạ? Hôm 20/11 , dì lại nhắc về vụ đó và khi đó e có lỡ miệng nói câu làm dì buồn. Hôm sau dì gọi và méc ba e vụ e quen bạn nam và việc e làm trong trường,nói lời đó với dì. E lúc biết dì méc ba thì thật sự rất buồn vì nghĩ chuyện tcam của trẻ con ko nên nói cho phuynh. Xong dì còn đi kể tùm lum với con dì về e này nọ trong khi nó k đúng sự thật,e có nhắn ngỏ ý xin lỗi dì và muốn giải thích cho dì những cái ko đúng sự thật đó nhưng dì ko chịu và k nghe e giải thích mặc dù e đã ngỏ ý thêm lần nữa. E nên làm sao đây ạ? E cảm ơn mọi người đã lắng nghe ạ",0,0,0,,,,,"17t, như v"
"Em không biết có phải em suy nghĩ nhiều không nữa..

Mẹ em có sẽ joke với 1 chú cùng quê, chú đó gửi hình bị ong chích 3 4 mũi gì đó ngay ngực, xong mẹ em trả lời lại rằng ""phải chi anh cũng được 3 4 lần như con ong nhỉ?"", mẹ hay call zalo với chú đó, em lại gần thì cả 2 người chỉ im lặng nhìn nhau qua màn hình thôi chứ kh nói chuyện, mẹ đặt mật khẩu cuộc trò chuyện bên zalo với chú đó nữa.. em thắc mắc là nếu như bạn bè thì cần gì đặt mật khẩu chứ? 

Hôm trước em dùng điện thoại mẹ chụp ảnh thì đột nhiên mẹ dựt điện thoại lại rồi hỏi ""nãy giờ m có xem gì không?""  ""m mà nói tiếng nào với cha thì đi ra đường ở hết""...

Em biết mật khẩu đt mẹ nhưng giả vờ không biết và lúc đó thì em chỉ chụp ảnh thôi, chưa vào xem mà mẹ đã giật mình như thế..

Liệu mẹ em có ngoại tình không ạ?",0,1,0,,suy nghĩ nhiều,,Gia đình,"sẽ joke, call zalo, "
"Tớ thích nghe nhạc.

Tớ thích nghe nhạc. Tớ thường hay nghe nhạc để giải toả căng thẳng sau những giờ học và làm việc, để tâm hồn thư thái khi làm việc gì đó, và cũng để... nhảy nhót như một đứa khùng.

Mỗi khi tớ nghe nhạc, tớ thường hay nghe bằng tai nghe hơn là loa ngoài, vì khi đeo tai nghe, tớ có thể cảm nhận được từng chi tiết trong bài nhạc rõ hơn hẳn so với khi nghe bằng loa ngoài. Tớ có thể nghe được các chi tiết trầm bổng trong bài nhạc và đôi khi cả những hiệu ứng (VD: tai trái sang tai phải và ngược lại, sound effects (tớ không biết cách gọi thứ này trong tiếng Việt), và nhiều thứ hơn nữa) khi nghe bằng tai nghe, còn khi nghe bằng loa ngoài (không tính loa kiểm âm) thì đa phần là thế này: giai điệu, nhịp trống, hợp âm thì có đó, nhưng âm trầm và các hiệu ứng đã bay đi đâu hết rồi? Tuy những âm thanh ở loa ngoài có thể truyền qua từng lớp biểu bì để chúng ta cũng có thể có những cảm nhận sâu sắc với âm nhạc không kém gì tai nghe, tớ lại cảm thấy những chi tiết trong bài nhạc thu hút hơn bao giờ hết. Một cái nữa, sử dụng tai nghe khi nghe nhạc có thể đem lại sự riêng tư mà loa ngoài hầu như không có được, vậy nên tớ có thể sử dụng tai nghe để những gì tớ nghe được đều chỉ có tớ nghe thấy và là của riêng tớ.
Và khi tớ nghe nhạc, tớ thường hay chú tâm đến những chi tiết trong bài nhạc (VD: nhịp trống, giai điệu) hơn là những lời ca tiếng hát (nếu là bài nhạc có lời). Tớ không phủ nhận tầm quan trọng của những câu từ trong những bài có lời, song tớ cảm thấy rằng bản thân tớ thuộc về những vòng hoà thanh và những dãy các nốt nhạc hơn.

Tớ có thể nghe hầu như đủ các loại nhịp độ, sắc thái và các tầng cảm xúc của âm nhạc; nhạc nhẹ hay nặng tớ đều nghe được hết. Tớ cũng thích nghe khá nhiều thể loại nhạc, tuy nhiên đa phần trong số đó là những thể loại nhạc khá ít người biết và hầu hết là không lời. Đôi khi chính tớ cũng không thể diễn tả nổi những thể loại nhạc mà tớ nghe trông ra sao, nếu tớ buộc phải diễn tả thì... những bài nhạc ấy ""hay"" theo kiểu nào đó chăng?
Tớ thấy nhiều người trẻ ở Việt Nam hiện tại chủ yếu hay nghe nhạc pop, house, lofi và một số thể loại phổ biến khác. Tớ thì... cái này hơi khó nói. Mỗi khi tớ thấy các anh chị, các bạn và các em trên Đại học bật những bài nhạc pop, house, pop ballad, lofi có lời, nhạc sàn tiktok hay những thể loại tương tự cho nhau nghe, tớ cảm thấy như bản thân đang lạc lõng giữa chốn đông người. Tớ hầu như không thể toàn tâm đu đưa cùng với mọi người khi nghe, vì những bài nhạc đó đa phần không hợp gu âm nhạc 'kì lạ' của tớ. Không những thế, những thể loại nhạc tương tự như nhạc Vàng (chúng ta hay gọi là nhạc Bolero) tớ cũng không ngấm nổi luôn.

Dù sao thì mỗi thể loại nhạc đều có những nét đẹp riêng và tượng trưng cho một số đặc điểm, tính cách đặc trưng nào đó. Những thể loại nhạc các cậu thích nghe cũng có thể đi cùng hoặc không đi cùng với những đặc điểm, tính cách của các cậu. Suy cho cùng thì thể loại nhạc nào đi chăng nữa thì cũng là âm nhạc, đúng không các cậu?
Tớ thấy hơi thất vọng vì có một số thành phần lại kiêu căng, tự mãn với mọi người vì bản thân hay nghe thể loại nhạc ""đặc biệt"" nào đó, hay một số nhóm người kì thị một số người trong những hội nhóm của họ vì sự khác biệt về thể loại âm nhạc bản thân yêu thích. Theo tớ, đây là một thứ không đáng để tự kiêu với những người tự cao vì lý do trên, và với những người bị kì thị vì lý do này thì họ không đáng bị như vậy; vì tất cả chúng ta đang sử dụng cùng một thứ ngôn ngữ: âm nhạc, mà mỗi ngôn ngữ đều có ít nhất một vài phương ngữ đi kèm tạo nên sự đa dạng của ngôn ngữ đó, và âm nhạc cũng vậy. (tất nhiên là những ""tác phẩm âm nhạc"" đi ngược lại với pháp luật, đạo đức và/hay thuần phong mỹ tục thì vẫn xứng đáng bị loại bỏ)

Tớ cảm ơn các cậu đã đọc đến đây ^^
Các cậu thích nghe những thể loại nhạc nào nhỉ? Các cậu có thể cho tớ biết dưới phần bình luận được khum?
- 🌻 The Paracosm, 2023.12.24 🌻",0,0,0,,,,,"vd (ví dụ), sound effects, nhạc pop, house, lofi, pop ballad, "
"Mọi người cho em hỏi, em và anh ấy bằng tuổi hai đứa vừa mới tốt nghiệp gần đây. Nếu ko có gì thay đổi thì sau khi tụi em có công việc ổn định thì tụi em sẽ cùng về chung một nhà vì anh ấy đã nhờ ba mẹ dưới quê lên tp gặp ba mẹ em để hỏi cưới em cho anh. Tụi em vẫn rất vui vẻ bình thường cho tới khi 1 tháng gần đây anh ấy có những biểu hiện thờ ơ, ko qtam em nhìu như trước. Hay cọc cằn dễ quạu, ko dành nhìu tg cho em. Anh ấy đi làm cả ngày đến tối khuya mới call nch vs em 1 xíu nhưng cũng ko trọn vẹn. 
   Em hỏi thăm anh kể cho anh nghe nhiều chuyện nhưng anh ko qtam mấy và thường làm việc riêng như lúc thì bảo bận việc, lúc thì xem clip vui lúc thì lướt đt (anh gọi cho em bằng máy tính). Càng ngày tụi em càng có nhìu khoảng cách với nhau, anh bảo anh ko có gì để kể với em và cũng ko muốn kể vì anh nói em và anh bất đồng quan điểm ko có tiếng nói chung.         
   Anh bắt đầu thay đổi thái độ sau khi anh đề nghị em sau này cưới nhau sẽ về quê anh sống với ba mẹ anh. Trong khi nhà em ở tp ba mẹ em đã lớn tuổi rồi nhưng anh lại có suy nghĩ ích kỉ muốn em về quê của anh. Trước đó anh và ba mẹ anh đã đồng ý để anh sống và lập nghiệp ở tp với em. Nhưng giờ lại có sự tính toán từ phía gđ và anh thay đổi ý định. Em rất hụt hẫng khi nghe anh nói như v 😞. Nhưng rồi đỉnh điểm một hôm tụi em cãi nhau to, anh dùng lời lẽ nặng nề xúc phạm em. Em chỉ biết ngồi khóc cũng ko biết phải làm thế nào. Trong khi em đó giờ có giận đến mấy cũng luôn giữ thái độ tôn trọng anh. Anh còn nói em từng rất qtrong vs anh nhưng bây giờ anh cảm thấy có em cũng đc mà ko có em anh vẫn ổn. Câu nói đó như cứa vào trái tim em, không gì buồn hơn khi em luôn vun đắp cho ty hai đứa nhưng anh cứ mãi đẩy em ra xa vì những câu nói như xé nát trái tim em. 
   Qua rất nhiều chuyện mỗi tổn thương anh dành cho em dồn nén lại và em qđ chia tay anh dù em vẫn còn rất yêu. Nhưng em cảm thấy mình ko đc anh trân trọng nữa nên em lựa chọn rời đi. Ban đầu anh cũng ko đồng ý và vẫn nt cho em như chưa có chuyện gì xảy ra. Ngày sau khi em nói ct anh cũng ko hề có 1 câu giải thích hay phân trần về những việc làm anh đối xử với em, mà cứ tỏ vẻ bth. Đêm hôm ấy anh gọi nhưng em ko bắt máy và thế là anh cũng chấp nhận buông bỏ em. Im lặng khoảng 4 ngày em đã suy nghĩ rất nhiều, đấu tranh tư tưởng mình vì em vẫn còn rất thương anh, nhớ anh vô cùng. Em biết anh ko còn nhiều cảm xúc vs em như trc nhưng em vẫn hạ cái tôi xuống lên tiếng muốn hàn gắn với anh. Nhưng may mắn ko đến vs em, anh từ chối đề nghị quay lại vs em, anh nói anh rất mệt mỏi và chịu đựng đủ rồi. Anh nói em và anh ko cùng đường nữa nên tuy buồn anh vẫn muốn ráng dứt để sau này hai đứa ko mệt mỏi nữa. Yêu vào mù quáng thật mn ạ, cho dù biết ngta ko tốt với mình ngta ko trân trọng mình nhưng em vẫn cứ mãi trông mong phép màu xảy ra để em và anh có thể cho nhau cơ hội quay lại. Nhưng những lời anh nói với em rất lạnh lùng, dứt khoác ko như ban đầu nồng nhiệt vs em như lúc mới yêu nữa. 
   Em vẫn ko tin đây là sự thật nhưng chắc là tụi em hết duyên thật rồi. Bạn anh có kể cho em nghe anh buồn nhậu một mình và ko muốn làm gì gặp ai. Nhưng sao em đề nghị quay lại thì anh ko đồng ý v ạ? Có phải do anh hết yêu em hay có đối tượng khác ko ạ? Mọi người cho em lời khuyên và cách để move on đc ko ạ, vì quen nhau 3 năm từ lúc còn học đh cho tới khi ra trường nên tụi em rất nhiều kỉ niệm với nhau. Em khó mà quên đc anh :((
Cảm ơn ad đã duyệt bài ạ.",0,0,0,,,,,"tp (thành phố), qtam (quan tâm), nhìu, tg, call, clip, đt, qtrong (quan trọng), ty, qđ (quyết định), ct, "
"Chuyện là mình và bạn mình làm cùng công ty mà cty cách nhà 28km nên nó rủ mình đi chung share tiền xăng cho đỡ. 2 tuần đi xe mình, 2 tuần đi xe nó. Tuần này đi xe mình nhưng đến thứ 7 nó có đám cưới, nó định nghỉ nửa buổi sáng để đi đám rồi chiều lên làm nhưng nó muốn là sáng thứ 7 mình hoá giang đồng nghiệp đi làm để xe của mình lại cho nó chiều nó lên công ty làm rồi hai đứa về.Tuy nhiên nó không báo sớm để mình nhờ đồng nghiệp ở cty mà tận tối thứ 6 nó mới báo với mình (mình không có thông tin liên lạc của đồng nghiệp). Mình có bảo là nó báo muộn quá mình nhờ kiểu gì, xong sáng thứ 7 nó đổi kế hoạch là vẫn đi làm xong xin về cả buổi trưa-chiều luôn, sáng tụi mình đi xe mình lên cty, rồi nó chạy xe mình về, chiều mình hoá gianh đồng nghiệp về. Nó chạy xe mình về bị lủng lốp thì nhắn tin trách móc mình, mà mình đi bữa giờ vẫn bình thường. Mình tức quá mới nói như bên dưới thì có quá đáng lắm không mn ?  Chiều mình hoá giang đồng nghiệp về thì thấy xe vẫn chưa được vá lốp mình phải dắt đi vá. (Nhà nó cách nhà mình tầm 10p, thường mình sẽ chạy lên đón nó đi làm luôn hoặc tuần nào đi xe nó thì sẽ để xe mình nhà nó)",0,0,0,,,,,
"Hi mọi người. Hôm nay mình buồn quá nên lên đây tâm sự với mọi người một chút.

Chuyện là mình là nam, năm nay 25 tuổi, gia đình mình thì không khá giả gì, mẹ mình hòi trước khổ cực đi làm ở Đài Loan, gửi tiền về cho mình ăn học. Hiện tại thì mình cũng tốt nghiệp ĐHKT đi làm được 1 năm hơn rồi.

Hòi trước do mình sống đua đòi, ăn chơi, như kiểu nhà có điều kiện lắm, nên mình có vay rất nhiều nơi một chút, nói chung là kh nhiều tầm 60tr mỗi tháng phải trả góp lần lần.

Mỗi tháng mình đi làm lương có 10tr mà tổng tiền trả góp hơn 10tr chút, tháng nào mình cũng hỏi mượn bạn bè để xoay sở.  Thật sự mình đuối quá mn ạ, nhưng cũng phải ráng, mình kh dám nói với mẹ là mình mắc nợ, tại mẹ mình cứ thất mắc là sao thấy tháng nào lương của mình cũng hết, kh có dư.

Sao cuối cùng thì mẹ mình khuyên mình nên đi Nhật XKLD tầm 3 năm rồi về, mình thấy cũng hợp lý tại mình cũng đang mắc nợ mà ở VN mỗi tháng mình kh đủ tiền để trả.

Mà mình thật sự cũng hơi tiếc nuối 5 năm học ngành Kiến Trúc của mình, đi làm thì mấy anh cũng khen mình khá giỏi và nhạy bén, nếu theo nghề thì sau này sẽ phát triển. Mình nghe mình cũng vui lắm mn ạ.

Nhưng bây giờ mình đã quyết định là đi Nhật rồi, nên phải bỏ nghề, thật sự rất buồn, nhưng mình phải đi để trả nợ cho bản thân và một phần có vốn để lo cho mẹ mình sau này.

Cảm ơn mn đã đọc tới đây.

SG 24/12/2023.",0,0,0,,,,,"đhkt (đại học kiến trúc), hòi (hồi), kh, 60tr, 10tr, xkld (xuất khẩu lao động), vn (việt nam), mn, sg (sài gòn)"
"hi mọi người
en vừa mới chia tay mối tình 1 năm hơn. em nghĩ là em sẽ ổn vì trong mối quan hệ đó em cho đi rất nhiều và nhận lại rất ít. cũng đã trải qua rất nhiều thứ, và em tha thứ tất cả (bị lừa dối, vô tâm). khoảng thời gian gần đây anh có thay đổi, nhưng cuộc sống của anh dường như có quá nhiều thứ phải lo nên em luôn là sự lựa chọn sau cùng. em tủi lắm.
tụi em mỗi lần gây lộn là anh đối xử nhẹ nhàng với em, khác hẳn với mọi ngày. nên những lần như thế em thấy em đang làm sai khi khiến anh phải buồn. tới phút chia tay anh còn nhắn ""thương em"". bây giờ cảm xúc của em rất rối, một phần vì tổn thương, một phần vì thấy có lỗi. có lỗi vì những lần em dứt khoát mà anh lại nói chuyện nhẹ nhàng. em không biết em sao nữa, mọi người tán em cho tỉnh đi ạ!!",0,0,0,,,,,en (em)
"Có thể cho mình lời khuyên đc ko ạ?!!!
Nhóm bạn thân mình cs 3 người.Chúng mình đã chơi với nhau rất lâu r , khoảng 7-8 năm j đấy . Trong nhóm , có một bạn thích mình , kiểu úp úp mở mở (lúc trước có nói với mình là thích nhưng chỉ là đúng gu thôi). Hiện tại, bạn ấy thỉnh thoảng nhắn cho mình vài câu úp mở ko rõ ràng kiểu như : happy birthday my 2492161 ( Ai ko hiểu dòng số thì tự tìm hiểu nhé). Rồi bạn ấy đổi từ cách xưng hô bình thường là mày -tao sang cậu - tớ. Nhưng mình ko thích bạn ấy, í là ko có cảm giác rung động j cả, mình cảm thấy như càng ngày mình càng muốn tránh xa bạn ấy. MÌNH PHẢI LM THẾ NÀO BÂY H??😭",0,0,0,,,,,"cs (có), j, happy birthday my 2492161"
"Mình là nữ, năm nay 24 tuổi, mình đã dẫn ny về nhà chơi. Nhà mình kiểu không đón tiếp nhiệt tình với ny, ba mẹ mình khá gia trưởng và không quan tâm đến sự hiện diện của họ nên ny mình không thích gđ mình. Ba mẹ mình cũng đối xử bất công và áp đặt mình nên ny mình biêt điều đó và càng ko thích gđ mình.

Tụi mình đã tính tới chuyện lập gđ, nhưng mình khá buồn, ny mình những lần cãi vã lại lôi cái gđ mình ra để mắng nhiếc mình với những lời lẻ khó chịu. Và khi mình có ngỏ ý dẫn ny về khi có dịp thì anh ấy tỏ vẻ gượng ép nhưng vẫn về vì anh ấy cho rằng nếu ko về thì ko thể hỏi cưới mình được. Khi anh ấy về thì vẫn cố tỏ ra vui vẻ và làm hài lòng gđ mình nhưng mình cảm thấy gượng ép và hay lo sợ ko biết nhà mình có làm gì a ấy ko hài lòng ko.

Mình đã quen nhau dc gần 3 năm. Anh ấy hay nói chuyện với mẹ anh ấy và bạn anh ấy về gđ mình với những lời lẽ ko hay. Sau đó xoá đi, mình biết có giận thì laị dỗ mình bảo đó là cái anh nói vui thôi. Có lẽ bây giờ anh ấy còn yêu mình nên anh ấy mới cố gắng vậy, chứ nếu một ngày anh ấy hết yêu thì chắc đó cũng là cái cớ để anh ấy rời đi.

Nhiều lúc mình mệt lắm, mình đã khóc nhiều lần trước mặt anh và nói cho anh hiểu, anh cũng dỗ mình và hứa hẹn thay đổi chấp nhận vì mình.
Mình bij overthinking hay suy nghĩ anh ấy sẽ luôn nói ko tốt với bạn bè và mẹ anh ấy về gđ mình. Về mẹ anh ấy thì ko nói gì chỉ khuyên anh ấy thì kệ nhà mình quan trọng là sống với mình ntn thôi.
Mình ko biết giải quyết mối quan hệ này ntn nữa mng ạ?",0,0,0,,,,,"ny, gđ, bij (bị), "
"Tình yêu có cần phải đi đôi vs td ko ạ 
Chào các bạn ạ mình là nữ và hiện tại mình đang có một anh ny mà anh hay nói và mình về những thứ như QHTD đôi 3 lần mình đã né tránh rồi ạ 
Hôm nay anh lại hỏi mình vì sao ko đồng ý làm chuyện đó mình có trả lời là ""quen nhau lâu dài rồi hẳn tính ạ em muốn một tình yêu kh td "" anh lại nói mình khong tin tưởng anh mình ko thương anh thật lòng . Thật sự mình rất thương anh nhưng mà vấn đề QHTD mình ko biết phải đối mặt hay nói như nào với anh mình chỉ muốn quen lâu dài r sau này mới tính tới . Mình ko biết tình yêu có thật sự đi đôi vs td kh ạ mong nhận được lời khuyên từ các bạn ạ",0,0,0,,,,,"td (tình dục), qhtd, kh (không)"
"chuyện là em có nhỏ b thân chơi chung với nhau cũng 4,5 năm rồi, dạo này b ấy có quen dc vài người bạn mới và thường xuyên đi với những người bạn mới đó. Lâu lâu b ấy cũng hỏi em có muốn đi chơi cùng những người bạn mới của bạn ấy không thì e dứt khoát nói không vì e ngại tiếp xúc với ng lạ. Mấy nay b ấy hay mượn tiền em nhưng mãi không thấy trả 1 đồng nào cho em hết, b ấy cứ mượn mãi thôi ý trong khi đó em cũng đang rất là túng thiếu về mặt tài chính. Em đang thiếu tiền nhưng mà em ngại đòi lại quá 🥲",0,0,0,,,,,
